Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
C07 - Cart - Verify Email Address Field must not be blank,N6-28,10247,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:32 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-073143.png|width=439,height=70!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:32 PM;629c769c9f5d480069c74a1d;image-20230105-073143.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10078/image-20230105-073143.png,,Address Field must not be blank is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Address Field must not be blank""",,,,,0|i001fz:,,BAN Sprint 1,,,,,,,,Unit,1. để trống không nhập ,Fail,,,,To Do
S08 - Search - Verify Product search suggestions in search bar,N6-27,10246,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:32 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,,Verify Product search suggestions in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,05/Jan/23 2:32 PM;63918a3d3e79f12e5725b36a;image-20230105-073216.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10075/image-20230105-073216.png,,Không hiển thị gợi ý sản phẩm cho người dùng,,,,,,,,,,N6-3,,,Hiển thị gợi ý sản phẩm cho người dùng,,,,,0|i001fr:,,BAN Sprint 1,,,,,,,,Unit,1) Nhấp vào thanh tìm kiếm,Fail,,,,To Do
R05- registered -  Verify  Surname can't be more than 10 characters,N6-26,10245,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:30 PM,05/Jan/23 3:42 PM,05/Jan/23 2:31 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:30 PM;629c7d86954f50006fc9d8b5;image-20230105-073042.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10074/image-20230105-073042.png,,không hiển thị nội dung,,,,,,,,,,N6-2,,,"hiển thị ""Surname can't be more than 10 characters"" ",,,,,0|i001fj:,,BAN Sprint 1,,,,,,,,Unit,1)Nhập nhiều hơn 10 kí tự,Fail,,,"05/Jan/23 2:30 PM;629c7d86954f50006fc9d8b5;!image-20230105-073042.png|width=398,height=278!",To Do
C06 - Cart - Verify Email First character can not have space,N6-25,10244,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:29 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-072833.png|width=417,height=67!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:29 PM;629c769c9f5d480069c74a1d;image-20230105-072833.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10073/image-20230105-072833.png,,First character can not have space is be shown,,,,,,,,,,N6-4,,,"hiển thị ""First character can not have space""",,,,,0|i001fb:,,BAN Sprint 1,,,,,,,,Unit,1.Nhần 3 ký tự và nhấn khoảng cách ký tự đầu,Fail,,,,To Do
S07 - Search - Verify Search filtering in search bar,N6-24,10243,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:27 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify Search filtering in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,05/Jan/23 2:27 PM;63918a3d3e79f12e5725b36a;image-20230105-072726.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10072/image-20230105-072726.png,,Không hiển thị lọc tìm kiếm sản phẩm,,,,,,,,,,N6-3,,,Hiển thị lọc tìm kiếm sản phẩm,,,,,0|i001f3:,,BAN Sprint 1,,,,,,,,Unit,,Fail,,,,To Do
L03 - Verify Email - Email is not valid,N6-23,10242,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:26 PM,05/Jan/23 3:27 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Email - Email is not valid,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-60,,,,,,,05/Jan/23 2:23 PM;63918baa5fce844d606d502d;image-20230105-072347.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10071/image-20230105-072347.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Email is not valid""",,,,,0|i001ev:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập email không hợp lệ vào trường Email,Fail,,,,To Do
R04- registered -  Verify  put the number at the beginning of the last name,N6-22,10241,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:25 PM,05/Jan/23 3:42 PM,05/Jan/23 2:26 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:26 PM;629c7d86954f50006fc9d8b5;image-20230105-072607.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10070/image-20230105-072607.png,,không hiển thị,,,,,,,,,,N6-2,,,"2)hiển thị ""Do not include a number at the beginning of the surname""",,,,,0|i001en:,,BAN Sprint 1,,,,,,,,Unit,1)Nhập số ở đầu mục họ,Fail,,,"05/Jan/23 2:26 PM;629c7d86954f50006fc9d8b5;!image-20230105-072607.png|width=401,height=276!",To Do
C05 - Cart - Verify Email Special characters are not allowed,N6-21,10240,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:25 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:25 PM;629c769c9f5d480069c74a1d;image-20230105-072556.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10069/image-20230105-072556.png,,Special characters are not allowed is be shown,,,,,,,,,,N6-4,,,"hiển thị Special characters are not allowed"""" ",,,,,0|i001ef:,,BAN Sprint 1,,,,,,,,Unit,1. nhần vào email 1 ký tự đặc biệt.,Fail,,2023-01-05 07:26:00.223,"05/Jan/23 2:26 PM;629c769c9f5d480069c74a1d;!image-20230105-072556.png|width=433,height=54!",To Do
S06 - Search - Verify non-existent products in search bar,N6-20,10239,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:21 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify non-existent products in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,,,Không hiển thị sản phẩm,,,,,,,,,,N6-3,,,Không hiển thị sản phẩm,,,,,0|i001e7:,,BAN Sprint 1,,,,,,,,Unit,"1) Nhập sản phầm bất kì không tồn tại trong cửa hàng
2) Nhấn tìm kiếm",Pass,,,,To Do
L02 - Verify Email - First character can not have space,N6-19,10238,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:20 PM,05/Jan/23 3:27 PM,05/Jan/23 4:30 PM,,,0,Login,Verify Email - First character can not have space,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-60,,,,,,,05/Jan/23 2:19 PM;63918baa5fce844d606d502d;image-20230105-071929.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10068/image-20230105-071929.png,,Không hiển thị,,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""First character can not have space""",,,,,0|i001dz:,,BAN Sprint 1,,,,,,,,Unit,1) Nhập khoảng trắng vào trường Email,Fail,,,,To Do
C04 - Cart - Verify Fullname First character cannot have space,N6-18,10237,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:20 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-071944.png|width=611,height=62!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:20 PM;629c769c9f5d480069c74a1d;image-20230105-071944.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10067/image-20230105-071944.png,,First character cannot have space is be shown,,,,,,,,,,N6-4,,,"hiển thị ""First character cannot have space""",,,,,0|i001dr:,,BAN Sprint 1,,,,,,,,Unit,1.gõ một ký tự sau đó nhấn khoảng cách rồi thêm 1 ký tự,Fail,,,,To Do
S05 - Search - Verify blank first character in search bar,N6-17,10236,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:19 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify blank first character in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,05/Jan/23 2:19 PM;63918a3d3e79f12e5725b36a;image-20230105-071929.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10066/image-20230105-071929.png,,tìm thấy sản phẩm,,,,,,,,,,N6-3,,,Không tìm thấy sản phẩm,,,,,0|i001dj:,,BAN Sprint 1,,,,,,,,Unit,"1) Để trống kí tự đầu tiên
2) Nhấn tìm kiếm",Fail,,,,To Do
C03 - Cart - Verify fullname Special characters are not allowed,N6-16,10235,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:17 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-071548.png|width=601,height=59!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:17 PM;629c769c9f5d480069c74a1d;image-20230105-071548.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10064/image-20230105-071548.png,,Special characters are not allowed is be shown,,,,,,,,,,N6-4,,,"hiển thị""Special characters are not allowed""",,,,,0|i001db:,,BAN Sprint 1,,,,,,,,Unit,"1.bấm vào họ tên một ký tự đặc biệt
2.ấn vào đặt hàng",Fail,,,,To Do
R03- Registered -  Verify  Surname do not type special characters,N6-15,10234,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:17 PM,05/Jan/23 3:42 PM,05/Jan/23 2:20 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:18 PM;629c7d86954f50006fc9d8b5;image-20230105-071833.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10065/image-20230105-071833.png,,không hiển thị  nội dung,,,,,,,,,,N6-2,,,"hiển thị ""Surname do not type special characters""",,,,,0|i001d3:,,BAN Sprint 1,,,,,,,,Unit,1)Nhập kí tự đặc biệt vào mục họ,Fail,,,"05/Jan/23 2:18 PM;629c7d86954f50006fc9d8b5;!image-20230105-071833.png|width=406,height=278!",To Do
S04 - Search - Verify Capitalization of first character in search bar,N6-14,10233,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:15 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify Capitalization of first character in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,,,Hiển thị sản phẩm tìm kiếm,,,,,,,,,,N6-3,,,Hiển thị sản phẩm tìm kiếm,,,,,0|i001cv:,,BAN Sprint 1,,,,,,,,Unit,"1) Nhập kí tự đầu viết hoa trên thanh tìm kiếm
2) Nhấn tìm kiếm",Pass,,,,To Do
C02 - Cart - Verify full name Numbers are not allowed,N6-13,10232,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:14 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,"!image-20230105-071354.png|width=618,height=69!",,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,05/Jan/23 2:14 PM;629c769c9f5d480069c74a1d;image-20230105-071354.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10063/image-20230105-071354.png,,Numbers are not allowed is be shown,,,,,,,,,,N6-4,,,"hiển thị ""Numbers are not allowed""",,,,,0|i001cn:,,BAN Sprint 1,,,,,,,,Unit,"1. nhập số vào họ tên
2. bấm vào dòng tạo ",Fail,,,,To Do
R02- Registered -  Verify  Surname can't keep a distance,N6-12,10231,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:13 PM,05/Jan/23 3:42 PM,05/Jan/23 2:20 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,05/Jan/23 2:13 PM;629c7d86954f50006fc9d8b5;image-20230105-071356.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10062/image-20230105-071356.png,,không hiển thị nội dung,,,,,,,,,,N6-2,,,"hiển thị ""Surname can't keep a distance""",,,,,0|i001cf:,,BAN Sprint 1,,,,,,,,Unit,"1) ghi khoảng trắng đầu dòng kí tự nhập
",Fail,,,"05/Jan/23 2:13 PM;629c7d86954f50006fc9d8b5;!image-20230105-071356.png|width=418,height=282!",To Do
S03 - Search - Verify special characters in search bar,N6-11,10230,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:11 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify special characters in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,,,Không hiển thị sản phẩm nào,,,,,,,,,,N6-3,,,Không hiển thị sản phẩm nào,,,,,0|i001c7:,,BAN Sprint 1,,,,,,,,,"1) Nhập kí tự đặc biệt vào thnanh tìm kiếm
2) Nhấn tìm kiếm",Pass,,,,To Do
L01 - Verify Email - Email must not be blank,N6-10,10229,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 2:08 PM,05/Jan/23 3:27 PM,05/Jan/23 4:30 PM,,,0,Login, Verify Email must not be blank,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-60,,,,,,,05/Jan/23 2:13 PM;63918baa5fce844d606d502d;image-20230105-071306.png;https://tranminhhuy08081997.atlassian.net/secure/attachment/10061/image-20230105-071306.png,,Không hiển thị,,,,,,,,,,,,,"Phải hiên thị thông báo ""Email must not be blank""",,,,,0|i001bz:,,BAN Sprint 1,,,,,,,,Unit,"1) Không nhập giá trị vào trường Email
2) Nhấn Tab chuyển sang trường tiếp theo",Fail,,,,To Do
S02 - Search - Verify invalid characters in search bar,N6-9,10228,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:06 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify invalid characters in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,,,Không hiển thị sản phẩm nào,,,,,,,,,,N6-3,,,Không hiển thị sản phẩm nào,,,,,0|i001br:,,BAN Sprint 1,,,,,,,,Unit,"1) Nhập nhiều kí tự ngẫu nhiên vào thanh tìm kiếm
2) Nhấn tìm kiếm ",Pass,,,,To Do
C01 - Cart - Verify surname Can not be blank,N6-8,10227,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,05/Jan/23 2:05 PM,05/Jan/23 4:04 PM,05/Jan/23 4:30 PM,,,0,Cart,,,Lưu Minh Tuấn,629c769c9f5d480069c74a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-72,N6-65,N6-66,N6-68,N6-69,N6-70,N6-71,,,"""surname Cannot be blank"" sẽ xuất hiện",,,,,,,,,,N6-4,,,"hiển thị ""surname Cannot be blank"" ",,,,,0|i001bj:,,BAN Sprint 1,,,,,,,,Unit,"1. Bỏ trống mục họ 
2. Bấm vào tạo",Fail,,,,To Do
R01- Registered - Verify Surname can not be blank  ,N6-7,10226,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Huy Tran,629c7d86954f50006fc9d8b5,Huy Tran,629c7d86954f50006fc9d8b5,05/Jan/23 2:04 PM,05/Jan/23 3:42 PM,05/Jan/23 2:20 PM,,,0,registration,,,Huy Tran,629c7d86954f50006fc9d8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-58,N6-59,N6-61,N6-62,,,,,,đăng kí thành công,,,,,,,,,,N6-2,,,"hiển thị ""Surname can not be blank  """,,,,,0|i001bb:,,BAN Sprint 1,,,,,,,,Unit,"1 bỏ trống mục họ 
2 đăng nhập",Fail,,,,To Do
S01 - Search - Verify blank in search bar,N6-6,10225,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 2:04 PM,05/Jan/23 3:46 PM,05/Jan/23 4:30 PM,,,0,Search,Verify blank in search bar,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-64,,,,,,,,,không hiển thị sản phẩm nào ,,,,,,,,,,N6-3,,,không hiển thị sản phẩm nào ,,,,,0|i001b3:,,BAN Sprint 1,,,,,,,,Unit,"1) bỏ trống khoảng trắng trên thanh tìm kiếm
2) nhấn tìm kiếm",Pass,,,,To Do
Forgot Password,N6-5,10224,Epic,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 1:47 PM,05/Jan/23 4:13 PM,05/Jan/23 4:30 PM,,,0,,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Forgot Password,To Do,,,purple,,,0|i001av:,,,,,,,,,,,,,,,,To Do
Cart,N6-4,10223,Epic,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 1:43 PM,05/Jan/23 4:10 PM,05/Jan/23 4:30 PM,,,0,,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Cart,To Do,,,purple,,,0|i001an:,,,,,,,,,,,,,,,,To Do
Search,N6-3,10222,Epic,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 1:42 PM,05/Jan/23 4:18 PM,05/Jan/23 4:30 PM,,,0,,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Search,To Do,,,purple,,,0|i001af:,,,,,,,,,,,,,,,,To Do
Register,N6-2,10221,Epic,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 1:42 PM,05/Jan/23 4:11 PM,05/Jan/23 4:30 PM,,,0,,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Register,To Do,,,purple,,,0|i001a7:,,,,,,,,,,,,,,,,To Do
Login,N6-1,10220,Epic,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 1:41 PM,05/Jan/23 3:59 PM,05/Jan/23 4:30 PM,,,0,,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,BAN-1 Login,To Do,,,purple,,,0|i0019z:,,,,,,,,,,,,,,,,To Do
